genotype,pre_freq,pre_n,post_freq,post_n,change
N-000000200001100000,2.220315890397134e-05,11,0.0001486104919007282,3,5.447850162122606
N-100100000000011000,1.0092344956350608e-05,5,4.953683063357606e-05,1,3.55600964741388
N-000000000000101000,0.0003572690114548115,177,0.0017337890721751622,35,3.842141007760508
N-110200000000000000,0.00013523742241509815,67,9.907366126715212e-05,2,-0.26544660422126626
N-000000000000000010,0.0028460412776908713,1410,0.016396690939713677,331,4.759555039895042
N-001000000000001000,0.0003673613564111621,182,0.001535641749640858,31,3.171560677840675
N-000000200000010010,2.0184689912701216e-05,10,0.0002972209838014564,6,13.077193720105333
N-010101201000000000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000201010000000,2.0184689912701214e-06,1,0.0001486104919007282,3,48.56502529375815
N-000000000000020010,0.0002523086239087652,125,0.000792589290137217,16,2.1328948769744445
N-000201000000000010,8.073875965080486e-06,4,0.00019814732253430425,4,20.947326952748114
N-001000000001000000,0.0002745117828127365,136,0.0013374944271065537,27,3.8582111931536485
N-001000000000000010,0.0003249735075944896,161,0.002130083717243771,43,5.537597895516205
N-000001000100000000,6.257253872937377e-05,31,0.00034675781443503244,7,4.470252114917514
N-000000100000000000,0.0017863450572740576,885,0.01347401793233269,272,6.53912507128529
N-100000001000001010,3.0277034869051824e-05,15,4.953683063357606e-05,1,0.6157807428088885
N-010000000000000011,5.449866276429328e-05,27,9.907366126715212e-05,2,0.8031724780860395
N-000000001000001000,0.00039561992228894383,196,0.002278694209144499,46,4.747805596824524
N-000000000002000000,0.0018691022859161327,926,0.007331450933769258,148,2.920882290231098
N-001000000010020000,1.211081394762073e-05,6,9.907366126715212e-05,2,6.632909876301987
N-001010000000001000,2.624009688651158e-05,13,0.00019814732253430425,4,6.310815499812542
N-000010000000000000,0.0036413180602512993,1804,0.010600881755585278,214,1.9107512249640843
N-000000000010100000,0.00022808699601352373,113,0.0011393471045722495,23,3.977790640307367
N-000000200000000000,0.0018388252510470808,911,0.01020458711051667,206,4.547041549032153
N-000010000001000000,0.00017358833324923045,86,0.0009411997820379452,19,4.3966938368838475
N-011000000000000000,0.00040571226724529444,201,0.001535641749640858,31,2.7782035935348013
N-010000000000001000,0.00014734823636271887,73,0.0009907366126715212,20,5.68519314410099
N-000001000010001000,2.624009688651158e-05,13,0.00019814732253430425,4,6.310815499812542
N-011010000000000000,8.881263561588535e-05,44,0.0002972209838014564,6,2.320479148133466
N-000000200000020010,1.211081394762073e-05,6,0.00019814732253430425,4,14.189546837436762
N-000100000000000000,0.001727809456527224,856,0.007826819240105018,158,3.5278669725866063
N-010201000010001000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-011000000000120000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-010000000000000000,0.0023858303476812837,1182,0.014266607222469906,288,4.97763776396188
N-000001100000001000,1.8166220921431094e-05,9,0.00019814732253430425,4,9.390536733906874
N-010000000000100100,1.614775193016097e-05,8,4.953683063357606e-05,1,1.9471402921736607
N-000101200010001000,0.0,0,9.907366126715212e-05,2,99.07366126715213
N-000001000010000100,1.211081394762073e-05,6,0.0001486104919007282,3,10.411228356869374
N-100000000000011010,4.036937982540243e-05,20,9.907366126715212e-05,2,1.419027350410096
N-000000100001010000,1.0092344956350608e-05,5,0.0002476841531678803,5,21.419439184994264
N-000000000000000001,0.00547610637331584,2713,0.01069995541685243,216,0.9537607428964489
N-011000000000010001,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-011000000000001000,2.422162789524146e-05,12,9.907366126715212e-05,2,2.9677716951027144
N-101200001000000000,2.0184689912701216e-05,10,0.0001486104919007282,3,6.062198810426282
N-100000000000100000,0.0008235353484382096,408,0.0020310100559766185,41,1.4644304938842736
N-000000201000000110,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-100000201000000000,4.64247867992128e-05,23,0.00044583147570218456,9,8.421897405548306
N-000000200000100000,0.00015340364333652924,76,0.0008421261207707931,17,4.460532553193478
N-000000000000001020,0.000431952364131806,214,0.00034675781443503244,7,-0.1967758043488529
N-000000001010000000,0.0002543270929000353,126,0.0008421261207707931,17,2.302141230664035
N-100101201000000000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000101200000000000,1.614775193016097e-05,8,0.009411997820379452,190,547.9348025745021
N-100001000000000100,6.257253872937377e-05,31,0.00019814732253430425,4,2.1325998066880407
N-001000001000010000,1.614775193016097e-05,8,0.0001486104919007282,3,7.7247875120924805
N-000101201002000000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000001000000,0.0028460412776908713,1410,0.012334670827760439,249,3.3328036458134673
N-001000200000020010,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-100000000100000000,0.00036937982540243225,183,0.0006439787982364889,13,0.7413982998012757
N-001101200001010000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000101100000000101,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000100001001,2.220315890397134e-05,11,9.907366126715212e-05,2,3.3129326347898265
N-010000100000000000,0.00011908967048493718,59,0.0011888839352058255,24,8.908295446235504
N-000101101000000100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000001112110100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100101000000010000,1.0092344956350608e-05,5,4.953683063357606e-05,1,3.55600964741388
N-100000000000010110,3.4313972851592065e-05,17,4.953683063357606e-05,1,0.43107179829237774
N-000000001000020000,0.00015138517434525912,75,0.0006439787982364889,13,3.232556093515766
N-000001000010000001,1.0092344956350608e-05,5,0.0001486104919007282,3,12.487724416204072
N-000100010000000010,4.036937982540243e-06,2,0.0001486104919007282,3,28.70266706068837
N-000200001000100000,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-001000010000001000,1.4129282938890851e-05,7,9.907366126715212e-05,2,5.614567370533204
N-001001010000000000,2.422162789524146e-05,12,9.907366126715212e-05,2,2.9677716951027144
N-000000010000000000,0.002044709088156633,1013,0.008569871699608659,173,3.1896825649495355
N-011100100000010000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-111211210112011011,0.0,0,0.00019814732253430425,4,198.14732253430427
N-010000000010101000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-100000000010020000,3.633244184286219e-05,18,4.953683063357606e-05,1,0.3536974314804565
N-101000000001000000,7.266488368572438e-05,36,0.0001486104919007282,3,1.0309608108391193
N-000010001001020100,0.0,0,0.0005944419676029127,12,594.4419676029128
N-010000000000010000,0.00022203158903971338,110,0.0011888839352058255,24,4.335046664595806
N-010010010010120010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100100001000000000,4.440631780794268e-05,22,0.0001486104919007282,3,2.294926766216609
N-000000001000010000,0.0002442347479436847,121,0.0017337890721751622,35,6.07399374159463
N-001010101002111010,4.036937982540243e-06,2,0.0001486104919007282,3,28.70266706068837
N-000101200000100000,6.055406973810365e-06,3,0.000743052459503641,15,104.45847493497682
N-000000000000000011,0.0007831659686128072,388,0.0012879575964729777,26,0.6437305979410824
N-000001000001000000,0.0001574405813190695,78,0.0013870312577401297,28,7.760579178543256
N-001100100000010100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000111200000000000,1.614775193016097e-05,8,0.0005944419676029127,12,33.724200001727176
N-000010000000000001,0.0002240500580309835,111,0.0005944419676029127,12,1.6458201024810932
N-000011100010000000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-010011001000100100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000100000000000100,7.872029065953475e-05,39,0.0006935156288700649,14,7.711905377216523
N-000000000000001010,0.0006600393601453298,327,0.003715262297518205,75,4.621847232668843
N-000000001001000000,0.0002745117828127365,136,0.0017833259028087382,36,5.47640505459446
N-000000000000010010,0.000298733410707978,148,0.002130083717243771,43,6.109930495269434
N-010000200000000000,0.00011303426351112681,56,0.0005449051369693367,11,3.787202724522095
N-100200000100120000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010000010000020000,8.073875965080486e-06,4,4.953683063357606e-05,1,4.5694866039672375
N-000101000000010000,8.073875965080486e-06,4,9.907366126715212e-05,2,10.028766720227528
N-000101000000000000,0.00013120048443255791,65,0.001535641749640858,31,10.623571246630158
N-000000001001001000,3.0277034869051824e-05,15,0.0001486104919007282,3,3.7833975479806625
N-011000100000000000,2.8258565877781702e-05,14,0.0002476841531678803,5,7.499533237776547
N-000200110100020100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-110110110012001111,6.055406973810365e-06,3,0.00019814732253430425,4,27.226199179372372
N-110000200000000020,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000000010001100000,2.8258565877781702e-05,14,4.953683063357606e-05,1,0.7272490676637229
N-001001000000000100,2.422162789524146e-05,12,0.0003962946450686085,8,14.752141246345392
N-101100000000001001,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-101000001110021000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000001000000000100,0.00019175455417066154,95,0.0016842522415415862,34,7.742995716975346
N-010010010000020000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000000000020,0.0012554877125700156,622,0.003764799128151781,76,1.9970839272667686
N-000100210000001000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000001000001010,8.275722864207498e-05,41,0.00034675781443503244,7,3.1519737469004343
N-010011010000020101,0.0,0,0.0008916629514043691,18,891.6629514043692
N-111101100011010100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100000011000000010,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-101101000000000000,3.4313972851592065e-05,17,4.953683063357606e-05,1,0.43107179829237774
N-000101100000000001,2.0184689912701214e-06,1,9.907366126715212e-05,2,32.153781455625555
N-001211101100021021,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-011011010000021101,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000000000100010000,0.00015542211232779936,77,0.0005944419676029127,12,2.806635511705021
N-001000010000020000,8.073875965080486e-06,4,4.953683063357606e-05,1,4.5694866039672375
N-000010001002010000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-110110100010000001,6.055406973810365e-06,3,0.00019814732253430425,4,27.226199179372372
N-000110000000000000,0.00019377302316193169,96,0.0005944419676029127,12,2.0571069747573323
N-101000100002110010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-111211200112011021,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000111101012000000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000000120000,0.0002341424029873341,116,0.0008916629514043691,18,2.796265327153488
N-000000200000001000,0.0001392743603976384,69,0.0008421261207707931,17,5.010550455413003
N-100001010000001000,2.0184689912701214e-06,1,0.0001486104919007282,3,48.56502529375815
N-100000010002100121,5.248019377302316e-05,26,0.0002972209838014564,6,4.576288393178691
N-000000000010000011,3.4313972851592065e-05,17,4.953683063357606e-05,1,0.43107179829237774
N-000000000000020000,0.0019236009486804258,953,0.011343934215088919,229,4.894694286037533
N-000110001000000000,1.614775193016097e-05,8,9.907366126715212e-05,2,4.835963902133071
N-000000100000100000,0.00013523742241509815,67,0.0013870312577401297,28,9.18832588824952
N-000101201000000000,2.0184689912701214e-06,1,0.0006935156288700649,14,229.0887075132166
N-000001000010000000,0.00019780996114447192,98,0.0018328627334423145,37,8.224199445970802
N-001101200000001010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100010001000001000,8.073875965080486e-06,4,4.953683063357606e-05,1,4.5694866039672375
N-000000000000020100,0.00014532976737144875,72,0.0005449051369693367,11,2.730649933882499
N-100010000000000100,5.248019377302316e-05,26,0.0001486104919007282,3,1.797493452168375
N-001001000000000110,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-001000000011000000,3.229550386032194e-05,16,0.0001486104919007282,3,3.4934142618282507
N-110000000100000000,3.835091083413231e-05,19,0.0001486104919007282,3,2.8019575336222866
N-000000000010000001,0.000149366705353989,74,0.0002972209838014564,6,0.9832913350026061
N-000000010000020000,8.275722864207498e-05,41,0.00044583147570218456,9,4.334840740870947
N-111001200000000000,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-010010000000010000,2.8258565877781702e-05,14,0.0002972209838014564,6,9.192604280304753
N-000011000010000000,1.8166220921431094e-05,9,0.0002476841531678803,5,11.975127135772976
N-000000100000000001,0.0001392743603976384,69,0.000792589290137217,16,4.657408010185285
N-000000000001000010,0.0001957914921532018,97,0.001486104919007282,30,6.556754119479788
N-000001000000010000,0.00012312660846747743,61,0.000743052459503641,15,4.99430266153281
N-000101200000000020,0.0,0,0.0002476841531678803,5,247.6841531678803
N-000101000010000000,6.055406973810365e-06,3,0.0001486104919007282,3,20.205083201590153
N-000200000000000000,0.0012675985265176363,628,0.0033189676524495964,67,1.6170357154387265
N-000100000100020000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000010001000010,1.614775193016097e-05,8,0.00019814732253430425,4,10.613611122051891
N-000000210000001000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-001000000102000000,1.211081394762073e-05,6,4.953683063357606e-05,1,2.8545913957346003
N-010000000001010000,2.624009688651158e-05,13,9.907366126715212e-05,2,2.6737630443856966
N-000010000000010020,1.0092344956350608e-05,5,4.953683063357606e-05,1,3.55600964741388
N-001000200000020000,8.073875965080486e-06,4,9.907366126715212e-05,2,10.028766720227528
N-000001000000000001,0.00024019780996114448,119,0.0010402734433050973,21,3.3170932749051083
N-000000000000120100,3.835091083413231e-05,19,0.0001486104919007282,3,2.8019575336222866
N-000000011002010000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000000100000100100,6.055406973810365e-06,3,0.0002476841531678803,5,34.247315157154596
N-000000000002000001,0.00013321895342382803,66,0.0002476841531678803,5,0.8528244098477016
N-000000201110101120,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-001000000002000000,0.0001594590503103396,79,0.0008916629514043691,18,4.563182317718404
N-100100200001120110,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-111001201001000000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010000000000020000,0.00011101579451985669,55,0.000743052459503641,15,5.642388805015753
N-010000001000000000,0.00027249331382146643,135,0.0013870312577401297,28,4.075192655884165
N-000000201000000000,0.0001856991471968512,92,0.0009907366126715212,20,4.311950416280464
N-010000000010010100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-001101100000000000,1.4129282938890851e-05,7,4.953683063357606e-05,1,2.340332178180613
N-100000000002000000,0.0004763586819397487,236,0.0005944419676029127,12,0.24736804866171525
N-000001010000000011,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-001000000000100000,0.0004682848059746682,232,0.00163471541090801,33,2.485549478872975
N-100001100000000000,3.835091083413231e-05,19,0.0002972209838014564,6,6.57850269485464
N-101100000000020020,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-000000110000021000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000001110021010,1.0092344956350608e-05,5,4.953683063357606e-05,1,3.55600964741388
N-100000000002010000,5.6517131755563404e-05,28,0.0001486104919007282,3,1.6011466033553903
N-000000000010000100,0.0001392743603976384,69,0.0008421261207707931,17,5.010550455413003
N-001200000002120121,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000110110110011,0.0,0,9.907366126715212e-05,2,99.07366126715213
N-001000000100010000,1.4129282938890851e-05,7,0.0001486104919007282,3,8.888802562885795
N-111000000000000000,0.00034313972851592067,170,0.0006935156288700649,14,1.018121045963268
N-100000000001010100,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-001101200000000010,0.0,0,9.907366126715212e-05,2,99.07366126715213
N-110000001002000000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-000001000000000010,0.00016147751930160973,80,0.0018328627334423145,37,10.286870585696748
N-001010100010100000,6.257253872937377e-05,31,4.953683063357606e-05,1,-0.20505250154143276
N-110000010110010100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000110200000010000,2.0184689912701214e-06,1,0.0001486104919007282,3,48.56502529375815
N-000101200112120100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010101010100100020,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000101100000100000,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-000000001010001000,1.211081394762073e-05,6,0.0001486104919007282,3,10.411228356869374
N-000001100000000110,2.0184689912701214e-06,1,9.907366126715212e-05,2,32.153781455625555
N-000000100100000000,7.064641469445426e-05,35,0.0002476841531678803,5,2.470992292195321
N-010100110100100100,5.449866276429328e-05,27,0.0005449051369693367,11,8.83636559475017
N-000000000011000000,0.00013725589140636826,68,0.0011393471045722495,23,7.248090500682444
N-100000001000110000,1.4129282938890851e-05,7,9.907366126715212e-05,2,5.614567370533204
N-010010000000020000,2.0184689912701214e-06,1,0.00019814732253430425,4,64.97626913189073
N-000100110000000111,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-011000000001000000,4.64247867992128e-05,23,0.0002476841531678803,5,4.243759011943691
N-001001000000000000,0.0003512136044810012,174,0.0019814732253430425,40,4.628610593461557
N-000000000100000010,0.00013120048443255791,65,0.0005449051369693367,11,3.1293731964184315
N-100000100000010000,3.835091083413231e-05,19,0.0003962946450686085,8,9.096199469009543
N-100000000000010101,3.229550386032194e-05,16,4.953683063357606e-05,1,0.5178274774150665
N-001000200110101120,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010011100112121101,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-101000001101001020,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100010000112121111,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-100001000000000000,0.0006701317051016804,332,0.001486104919007282,30,1.2158168176274384
N-100100000000000000,0.0005429681586516627,269,0.000743052459503641,15,0.36782355303282555
N-000200201001020010,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000000000001000020,8.073875965080486e-05,40,0.00019814732253430425,4,1.436387870149719
N-010010000000000000,0.00019175455417066154,95,0.0012879575964729777,26,5.687040947067621
N-110000000000100000,8.679416662461522e-05,43,0.00034675781443503244,7,2.961058323179414
N-010000101000000000,4.036937982540243e-06,2,9.907366126715212e-05,2,18.86795581244832
N-000000011010000000,2.624009688651158e-05,13,4.953683063357606e-05,1,0.8552368166722739
N-010001100000000000,1.4129282938890851e-05,7,0.0005449051369693367,11,35.082684101706526
N-100000000000100010,5.8535600746833526e-05,29,0.0002972209838014564,6,4.009120258475222
N-000000000000001001,0.0006095776353635767,302,0.000792589290137217,16,0.2997352739011863
N-001000010000021000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-100010000000000010,7.670182166826462e-05,38,0.0002476841531678803,5,2.2004932166146265
N-001201101111110011,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-001000000100020000,4.036937982540243e-06,2,4.953683063357606e-05,1,9.033244564208271
N-000001000010000110,4.036937982540243e-06,2,9.907366126715212e-05,2,18.86795581244832
N-100010200001100001,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000000000010001000,0.0001776252712317707,88,0.0009907366126715212,20,4.552050982667052
N-001000001000121000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000100000010000,0.00014734823636271887,73,0.002278694209144499,46,14.367181066922377
N-001000000001010000,2.624009688651158e-05,13,0.00019814732253430425,4,6.310815499812542
N-000201000000000000,0.0001029419185547762,51,0.0008916629514043691,18,7.588093849104257
N-100010000001100010,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000000000000010110,0.00010496038754604632,52,0.00019814732253430425,4,0.8794506810175875
N-100000000010000000,0.0004985618408437201,247,0.0009411997820379452,19,0.8860523462853868
N-101001201101100010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-101101201111100010,0.0,0,0.0009411997820379452,19,941.1997820379453
N-000001001000001000,2.8258565877781702e-05,14,0.00034675781443503244,7,10.885675322832958
N-010001201110111100,0.0,0,0.00034675781443503244,7,346.75781443503246
N-001010000001000010,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-000001000000001000,0.00034919513548973104,173,0.0027245256848466835,55,6.7828770552028566
N-111010000000110000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-001100000000120110,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000001100000000,0.00013523742241509815,67,0.0006439787982364889,13,3.7342263733625285
N-001100000000000000,0.0002704748448301963,134,0.0006439787982364889,13,1.3758326434993047
N-000200200001101000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-001010000100010100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000011101011,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-000001000000100100,2.8258565877781702e-05,14,0.00019814732253430425,4,5.806462195248341
N-000000001110000100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010001001010010000,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-100000000000001000,0.0008941817631326639,443,0.0018823995640758905,38,1.1039297734182896
N-000100000000020000,6.055406973810365e-05,30,0.0003962946450686085,8,5.45440093171731
N-001000200101000010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010100000000100121,0.0,0,0.0002476841531678803,5,247.6841531678803
N-000001010001000000,1.0092344956350608e-05,5,0.00019814732253430425,4,16.953581800599167
N-000000000001010010,3.229550386032194e-05,16,0.0001486104919007282,3,3.4934142618282507
N-010001000010000000,1.4129282938890851e-05,7,0.0002476841531678803,5,15.437272947590976
N-000000000000020101,7.670182166826462e-05,38,0.0001486104919007282,3,0.9254438144251755
N-001000010000000000,0.00015340364333652924,76,0.0012384207658394015,25,7.0271471518196735
N-001000000000001100,4.64247867992128e-05,23,0.00019814732253430425,4,3.199224413542538
N-010000010010101010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-010100110101100100,2.0184689912701214e-06,1,9.907366126715212e-05,2,32.153781455625555
N-010000000010110010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000000000010010010,1.8166220921431094e-05,9,9.907366126715212e-05,2,4.221355930174672
N-000000110000010100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000001000101000000,6.055406973810365e-06,3,4.953683063357606e-05,1,6.162851246025711
N-011010101002101010,2.0184689912701214e-06,1,9.907366126715212e-05,2,32.153781455625555
N-000001000000020010,2.422162789524146e-05,12,0.0002476841531678803,5,8.859956470724052
N-110000000000000100,5.6517131755563404e-05,28,0.0002476841531678803,5,3.3236535894164456
N-000001001001000000,2.422162789524146e-05,12,0.0002476841531678803,5,8.859956470724052
N-000000000000011000,0.00022606852702225361,112,0.0010402734433050973,21,3.585723336299479
N-000010000000010000,0.00020790230610082252,103,0.0012384207658394015,25,4.93301619773034
N-000000200012000100,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-001010101000000000,2.0184689912701214e-06,1,4.953683063357606e-05,1,15.74253761749297
N-100000000002020000,3.633244184286219e-05,18,9.907366126715212e-05,2,1.6806085090382539
N-000010000000001000,0.00019377302316193169,96,0.0009907366126715212,20,4.091755503774281
N-001000001000000001,1.614775193016097e-05,8,4.953683063357606e-05,1,1.9471402921736607
N-000201001000000010,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-111201210112111011,0.0,0,4.953683063357606e-05,1,49.536830633576066
N-000011000000001000,2.0184689912701216e-05,10,4.953683063357606e-05,1,1.3855355373069143
